"","id","Year","Gender (MW)","Race/Ethnicity","State Groups","Admit Date","Admit Date (group)","Acad Rating","Origin Group","Orientation","High School Type","Campus Visit","Open House Status","Fin Aid App","FAFSA Date","Enrolled","Career Objective","Diversity","Honors","PresidentialMerit"
"3699",303418,2019,"Women","Black/Af. Amer.","In-State","12/17/2018","Before January",3,"Application","None","Public","Did not Visit","None","by Apr 30","2/27/2019",0,"Architecture and Related Services",1,0,0
"3700",303487,2018,"Men","White","In-State","9/22/2017","Before January",4,"Web Create Account","2nd","Public","Orientation","Fall","by Apr 30","10/27/2017",1,"Unknown/Deciding",0,0,0
"3701",303596,2020,"Men","Unknown","In-State","2/24/2020","February",5,"Campus Visit","None","Public","Other Visit","None","by Apr 30","10/18/2019",0,"Education",0,0,0
"3702",303610,2019,"Women","Two or More","In-State","12/19/2018","Before January",3,"Application","None","Public","Did not Visit","None","by Apr 30","10/23/2018",0,"Business, Management, Marketing, & Related Support Svcs",1,0,0
"3703",303769,2019,"Women","White","In-State","11/27/2018","Before January",2,"Search","None","Public","Did not Visit","None","None","1/1/2050",0,"Biological and Biomedical Sciences",0,0,0
"3704",303807,2021,"Women","Hispanic","In-State","5/7/2021","May",4,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Legal Professions and Studies",0,0,0
"3705",303939,2017,"Women","White","In-State","11/8/2016","Before January",2,"Private Institutions","None","Public","Other Visit","Fall","by Apr 30","10/8/2016",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"3706",303990,2019,"Women","Hispanic","Out-of-State","11/30/2018","Before January",2,"Search","None","Public","Other Visit","Early","by Apr 30","11/26/2018",0,"Security and Protective Services",1,0,0
"3707",304040,2018,"Women","Black/Af. Amer.","In-State","10/23/2017","Before January",2,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Computer and Information Sciences and Support Services",1,0,0
"3708",304185,2019,"Women","Hispanic","In-State","11/30/2018","Before January",2,"Internet","None","Public","Other Visit","Fall","by Apr 30","4/20/2019",0,"None",1,0,0
"3709",304238,2018,"Men","White","Out-of-State","9/22/2017","Before January",3,"Application","2nd","Public","Orientation","Fall","by Apr 30","10/17/2017",1,"Education",0,0,0
"3710",304255,2021,"Women","Black/Af. Amer.","Out-of-State","1/28/2021","January",6,"Common App Suspect/Prospect","None","Public","Did not Visit","None","None","1/1/2050",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"3711",304281,2019,"Women","Black/Af. Amer.","Out-of-State","10/24/2018","Before January",3,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Security and Protective Services",1,0,0
"3712",304362,2017,"Women","White","In-State","12/16/2016","Before January",4,"High School Visit","None","Private","Other Visit","Fall","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",0,0,0
"3713",304371,2017,"Women","White","In-State","10/24/2016","Before January",2,"Application","None","Public","Did not Visit","None","by Apr 30","10/6/2016",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"3714",304421,2017,"Men","White","In-State","9/12/2016","Before January",3,"Referral","None","Public","Other Visit","None","by Apr 30","10/1/2016",0,"Communication, Journalism, and Related Programs",0,0,0
"3715",304458,2017,"Women","White","In-State","11/16/2016","Before January",4,"Application","None","Public","Did not Visit","None","by Apr 30","10/2/2016",0,"Agriculture, Agriculture Operations, and Related Sciences",0,0,0
"3716",304463,2019,"Women","White","In-State","12/17/2018","Before January",2,"College Night","1st","Public","Orientation","None","by Apr 30","11/24/2018",1,"Education",0,0,0
"3717",304642,2017,"Women","White","Out-of-State","10/13/2016","Before January",2,"Application","None","Private","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",0,0,0
"3718",304708,2019,"Women","Hispanic","Out-of-State","11/21/2018","Before January",2,"Other","None","Public","Did not Visit","None","None","1/1/2050",0,"Legal Professions and Studies",1,0,0
"3719",304715,2021,"Women","White","Out-of-State","10/8/2020","Before January",1,"Application","None","Private","Other Visit","None","by Apr 30","10/12/2020",0,"Health Professions and Related Clinical Sciences",0,0,0
"3720",304724,2021,"Men","White","In-State","4/19/2021","April",6,"Application","None","Public","Did not Visit","None","by Apr 30","2/17/2021",0,"Unknown/Deciding",0,0,0
"3721",304733,2018,"Women","Black/Af. Amer.","Out-of-State","3/29/2018","March",3,"Application","None","Public","Did not Visit","None","by Apr 30","3/28/2018",0,"Legal Professions and Studies",1,0,0
"3722",304783,2017,"Women","White","Out-of-State","1/4/2017","January",2,"Internet","2nd","Public","Orientation","Spring","by Apr 30","10/18/2016",1,"Parks, Recreation, Leisure, and Fitness Studies",0,0,0
"3723",304922,2019,"Women","Two or More","In-State","10/26/2018","Before January",3,"Internet","None","Public","Other Visit","None","by Apr 30","10/2/2018",0,"Education",1,0,0
"3724",304937,2018,"Men","Asian, Pacific Isl*","Out-of-State","1/29/2018","January",5,"High School Visit","None","Public","Other Visit","Spring","by Apr 30","3/2/2018",0,"Unknown/Deciding",1,0,0
"3725",304951,2021,"Men","Foreign (Non-Res)","Out-of-State","1/21/2021","January",1,"Application","None","Unknown","Did not Visit","None","None","1/1/2050",0,"Computer and Information Sciences and Support Services",0,1,0
"3726",305087,2019,"Women","Black/Af. Amer.","In-State","1/18/2019","January",5,"Application","None","Public","Did not Visit","None","by Apr 30","12/26/2018",0,"Security and Protective Services",1,0,0
"3727",305129,2017,"Women","Black/Af. Amer.","Out-of-State","10/20/2016","Before January",5,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Legal Professions and Studies",1,0,0
"3728",305219,2017,"Men","Hispanic","Out-of-State","3/6/2017","March",4,"High School Visit","None","Public","Other Visit","None","by Apr 30","12/15/2016",0,"Unknown/Deciding",1,0,0
"3729",305251,2017,"Women","White","Out-of-State","11/21/2016","Before January",2,"Other","None","Public","Did not Visit","None","None","1/1/2050",0,"Education",0,0,0
"3730",305554,2020,"Women","White","In-State","11/18/2019","Before January",6,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",0,0,0
"3731",305558,2019,"Men","Black/Af. Amer.","Out-of-State","1/9/2019","January",2,"SAT-ACT","None","Public","Did not Visit","None","by Apr 30","10/2/2018",0,"Legal Professions and Studies",1,1,0
"3732",305674,2019,"Women","White","In-State","9/13/2018","Before January",3,"College Night","None","Public","Other Visit","None","by Apr 30","10/11/2018",0,"Parks, Recreation, Leisure, and Fitness Studies",0,0,0
"3733",305736,2018,"Women","Two or More","In-State","10/31/2017","Before January",5,"Search","None","Public","Did not Visit","None","None","1/1/2050",0,"Security and Protective Services",1,0,0
"3734",305765,2021,"Men","Two or More","Out-of-State","4/22/2021","April",2,"Application","Virtual","Private","Orientation","None","by Apr 30","12/1/2020",1,"Computer and Information Sciences and Support Services",0,0,0
"3735",305944,2018,"Women","White","In-State","2/23/2018","February",5,"Search","None","Public","Did not Visit","None","by Apr 30","3/7/2018",0,"Unknown/Deciding",0,0,0
"3736",306119,2018,"Men","White","Out-of-State","1/9/2018","January",3,"SAT-ACT","None","Public","Did not Visit","None","None","1/1/2050",0,"Education",0,0,0
"3737",306126,2021,"Men","White","In-State","11/6/2020","Before January",3,"High School Visit","None","Private","Did not Visit","None","by Apr 30","10/2/2020",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"3738",306172,2019,"Women","Black/Af. Amer.","In-State","2/11/2019","February",3,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"None",1,0,0
"3739",306251,2017,"Men","White","In-State","4/5/2017","April",4,"Other","None","Public","Did not Visit","None","None","1/1/2050",0,"Unknown/Deciding",0,0,0
"3740",306497,2018,"Women","White","In-State","11/16/2017","Before January",3,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",0,0,0
"3741",306538,2017,"Women","Asian, Pacific Isl*","In-State","1/5/2017","January",3,"Application","None","Public","Did not Visit","None","by Apr 30","2/5/2017",0,"Education",1,0,0
"3742",306542,2019,"Women","Black/Af. Amer.","In-State","12/13/2018","Before January",3,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Public Administration and Social Service Professions",1,0,0
"3743",306543,2020,"Women","Unknown","In-State","2/27/2020","February",6,"Internet","Virtual","Public","Orientation","None","by Apr 30","10/21/2019",1,"Unknown/Deciding",0,0,0
"3744",306837,2017,"Women","Hispanic","Out-of-State","4/18/2017","April",4,"Application","None","Public","Did not Visit","None","by Apr 30","1/2/2017",0,"Health Professions and Related Clinical Sciences",1,0,0
"3745",306847,2019,"Women","Black/Af. Amer.","Out-of-State","3/12/2019","March",5,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Security and Protective Services",1,0,0
"3746",306912,2020,"Men","Black/Af. Amer.","Out-of-State","12/16/2019","Before January",6,"Other","None","Public","Did not Visit","None","by Apr 30","11/12/2019",0,"Research",0,0,0
"3747",307094,2019,"Women","Black/Af. Amer.","Out-of-State","4/10/2019","April",3,"SAT-ACT","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",1,0,0
"3748",307203,2021,"Women","Black/Af. Amer.","In-State","10/26/2020","Before January",6,"Application","None","Public","Did not Visit","None","by Apr 30","10/18/2020",0,"Health Professions and Related Clinical Sciences",0,0,0
"3749",307208,2020,"Men","Two or More","In-State","2/4/2020","February",6,"Application","None","Public","Did not Visit","None","by Apr 30","12/29/2019",0,"Security and Protective Services",0,0,0
"3750",307238,2017,"Men","Black/Af. Amer.","Out-of-State","2/23/2017","February",3,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Business, Management, Marketing, & Related Support Svcs",1,0,0
"3751",307331,2018,"Women","Hispanic","In-State","11/1/2017","Before January",2,"Search","None","Public","Did not Visit","None","by Apr 30","10/18/2017",0,"Health Professions and Related Clinical Sciences",1,0,0
"3752",307423,2021,"Women","Black/Af. Amer.","In-State","6/7/2021","June-Sept",3,"Common App Suspect/Prospect","None","Public","Did not Visit","None","None","1/1/2050",0,"Unknown/Deciding",0,0,0
"3753",307517,2017,"Women","White","Out-of-State","2/24/2017","February",2,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",0,0,0
"3754",307525,2019,"Women","Foreign (Non-Res)","Out-of-State","2/19/2019","February",5,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"None",1,0,0
"3755",307527,2020,"Men","Unknown","In-State","2/12/2020","February",4,"Other","None","Public","Did not Visit","None","by Apr 30","10/14/2019",0,"Research",0,0,0
"3756",307600,2020,"Women","Black/Af. Amer.","In-State","12/16/2019","Before January",1,"Private Institutions","None","Public","Did not Visit","None","None","1/1/2050",0,"Unknown/Deciding",0,0,0
"3757",307686,2020,"Men","Black/Af. Amer.","Out-of-State","2/10/2020","February",5,"Application","None","Public","Did not Visit","None","by Apr 30","2/2/2020",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"3758",307727,2018,"Women","White","Out-of-State","10/19/2017","Before January",2,"Private Institutions","None","Public","Did not Visit","None","None","1/1/2050",0,"Natural Resources and Conservation",0,0,0
"3759",307737,2021,"Men","Black/Af. Amer.","Out-of-State","10/19/2020","Before January",3,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Education",0,0,0
"3760",307779,2017,"Women","White","In-State","1/3/2017","January",1,"Search","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",0,0,0
"3761",307873,2019,"Women","Black/Af. Amer.","In-State","1/31/2019","January",2,"High School Visit","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",1,0,0
"3762",307877,2017,"Women","Unknown","In-State","1/16/2017","January",1,"Search","None","Public","Did not Visit","None","by Apr 30","10/29/2016",0,"Health Professions and Related Clinical Sciences",0,0,0
"3763",307934,2017,"Men","White","Out-of-State","10/24/2016","Before January",2,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Biological and Biomedical Sciences",0,0,0
"3764",308010,2020,"Men","White","In-State","1/23/2020","January",4,"Other","Virtual","Public","Orientation","None","by Apr 30","12/1/2019",0,"Unknown/Deciding",0,0,0
"3765",308069,2020,"Men","Two or More","Out-of-State","1/13/2020","January",4,"Application","None","Public","Other Visit","None","by Apr 30","1/1/2020",0,"Computer and Information Sciences and Support Services",0,0,0
"3766",308071,2019,"Women","White","In-State","11/1/2018","Before January",1,"Application","None","Public","Did not Visit","None","by Apr 30","10/7/2018",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"3767",308123,2019,"Women","White","In-State","12/13/2018","Before January",4,"High School Visit","None","Public","Did not Visit","None","by Apr 30","10/3/2018",0,"Education",0,0,0
"3768",308195,2019,"Men","Two or More","Out-of-State","1/21/2019","January",3,"Web Create Account","1st","Public","Orientation","None","by Apr 30","10/2/2018",1,"None",1,0,0
"3769",308212,2018,"Men","Two or More","In-State","2/13/2018","February",5,"Application","1st","Public","Orientation","None","by Apr 30","2/13/2018",1,"Computer and Information Sciences and Support Services",1,0,0
"3770",308228,2019,"Women","Black/Af. Amer.","In-State","10/11/2018","Before January",3,"Application","None","Public","Did not Visit","None","by Apr 30","10/8/2018",0,"Health Professions and Related Clinical Sciences",1,0,0
"3771",308242,2018,"Women","Foreign (Non-Res)","In-State","4/16/2018","April",4,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Unknown/Deciding",1,0,0
"3772",308395,2019,"Women","Asian, Pacific Isl*","In-State","1/16/2019","January",2,"Internet","None","Public","Did not Visit","None","by Apr 30","10/19/2018",0,"Engineering",1,0,0
"3773",308418,2020,"Men","White","Out-of-State","12/11/2019","Before January",4,"Search","Virtual","Public","Orientation","None","by Apr 30","12/10/2019",0,"Unknown/Deciding",0,0,0
"3774",308463,2021,"Men","White","In-State","1/28/2021","January",5,"Application","None","Public","Did not Visit","None","by Apr 30","10/1/2020",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"3775",308498,2017,"Men","Black/Af. Amer.","In-State","4/28/2017","April",5,"Internet","3rd","Public","Orientation","None","by Apr 30","1/23/2017",1,"Security and Protective Services",1,0,0
"3776",308563,2019,"Women","Black/Af. Amer.","Out-of-State","11/16/2018","Before January",3,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",1,0,0
"3777",308725,2021,"Women","White","In-State","11/16/2020","Before January",0,"Campus Visit","2nd","Public","Orientation","None","by Apr 30","11/28/2020",1,"Unknown/Deciding",0,0,0
"3778",308741,2017,"Women","Black/Af. Amer.","Out-of-State","2/22/2017","February",4,"Private Institutions","None","Public","Did not Visit","None","by Apr 30","10/3/2016",0,"Education",1,0,0
"3779",308742,2021,"Men","White","In-State","12/7/2020","Before January",6,"Campus Visit","1st","Public","Orientation","None","by Apr 30","12/13/2020",1,"Computer and Information Sciences and Support Services",0,0,0
"3780",308751,2021,"Women","White","In-State","1/29/2021","January",2,"Application","Virtual","Public","Orientation","None","May-Sept","7/9/2021",1,"Health Professions and Related Clinical Sciences",0,1,0
"3781",308790,2017,"Women","White","Out-of-State","9/13/2016","Before January",2,"Application","None","Public","Did not Visit","None","by Apr 30","12/19/2016",0,"Health Professions and Related Clinical Sciences",0,0,0
"3782",308818,2017,"Women","Two or More","In-State","2/8/2017","February",3,"Web Create Account","None","Public","Other Visit","None","by Apr 30","12/8/2016",0,"Health Professions and Related Clinical Sciences",1,0,0
"3783",308990,2019,"Women","White","In-State","1/7/2019","January",2,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Education",0,0,0
"3784",309122,2019,"Women","Black/Af. Amer.","In-State","9/21/2018","Before January",3,"Other","None","Public","Did not Visit","None","by Apr 30","10/3/2018",0,"Health Professions and Related Clinical Sciences",1,0,0
"3785",309133,2021,"Men","Hispanic","In-State","1/6/2021","January",5,"Search","None","Public","Did not Visit","None","by Apr 30","2/3/2021",0,"Health Professions and Related Clinical Sciences",0,0,0
"3786",309141,2017,"Women","Hispanic","Out-of-State","12/15/2016","Before January",1,"Application","None","Public","Did not Visit","None","by Apr 30","1/9/2017",0,"Health Professions and Related Clinical Sciences",1,0,0
"3787",309188,2017,"Women","White","Out-of-State","12/1/2016","Before January",3,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"3788",309394,2017,"Men","White","Out-of-State","1/19/2017","January",3,"Web Create Account","None","Public","Other Visit","None","None","1/1/2050",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"3789",309432,2018,"Women","Black/Af. Amer.","Out-of-State","11/21/2017","Before January",4,"Application","None","Public","Did not Visit","None","by Apr 30","11/28/2017",0,"Health Professions and Related Clinical Sciences",1,0,0
"3790",309653,2017,"Women","White","Out-of-State","3/2/2017","March",1,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Computer and Information Sciences and Support Services",0,0,0
"3791",309662,2018,"Women","White","In-State","11/22/2017","Before January",2,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Graduate Studies",0,0,0
"3792",309689,2017,"Women","White","In-State","9/30/2016","Before January",3,"Application","None","Public","Did not Visit","None","by Apr 30","1/17/2017",0,"Health Professions and Related Clinical Sciences",0,0,0
"3793",309719,2017,"Women","White","In-State","11/22/2016","Before January",3,"Application","None","Public","Did not Visit","None","by Apr 30","11/30/2016",0,"Visual and Performing Arts",0,0,0
"3794",309729,2020,"Men","Two or More","Out-of-State","1/29/2020","January",6,"Other","None","Public","Did not Visit","None","None","1/1/2050",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"3795",309754,2018,"Women","White","Out-of-State","3/26/2018","March",2,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"3796",309802,2018,"Men","White","In-State","12/6/2017","Before January",2,"Search","None","Private","Did not Visit","None","by Apr 30","3/19/2018",0,"Health Professions and Related Clinical Sciences",0,0,0
"3797",309861,2020,"Men","Black/Af. Amer.","In-State","1/10/2020","January",6,"Other","Virtual","Public","Orientation","None","by Apr 30","12/8/2019",1,"Unknown/Deciding",0,0,0
"3798",309916,2019,"Women","White","In-State","11/28/2018","Before January",1,"Application","None","Public","Did not Visit","None","by Apr 30","10/7/2018",0,"Health Professions and Related Clinical Sciences",0,0,0
"3799",309947,2018,"Women","White","Out-of-State","11/4/2017","Before January",4,"Search","None","Public","Did not Visit","None","by Apr 30","10/24/2017",0,"Security and Protective Services",0,0,0
"3800",309993,2019,"Women","White","In-State","10/30/2018","Before January",5,"Private Institutions","None","Public","Did not Visit","None","by Apr 30","2/28/2019",0,"Education",0,0,0
"3801",310008,2018,"Women","White","In-State","10/24/2017","Before January",1,"Application","None","Public","Other Visit","None","by Apr 30","11/21/2017",0,"Unknown/Deciding",0,0,1
"3802",310038,2019,"Men","Two or More","In-State","1/24/2019","January",5,"Search","None","Public","Did not Visit","None","None","1/1/2050",0,"Parks, Recreation, Leisure, and Fitness Studies",1,0,0
"3803",310048,2017,"Women","Hispanic","In-State","11/23/2016","Before January",3,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Unknown/Deciding",1,0,0
"3804",310164,2018,"Women","Two or More","In-State","4/13/2018","April",4,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",1,0,0
"3805",310208,2021,"Men","White","In-State","12/9/2020","Before January",3,"Application","1st","Public","Orientation","None","by Apr 30","11/2/2020",1,"Engineering",0,0,0
"3806",310274,2018,"Women","White","Out-of-State","12/19/2017","Before January",2,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Communication, Journalism, and Related Programs",0,0,0
"3807",310285,2017,"Women","Black/Af. Amer.","In-State","3/29/2017","March",5,"Other","None","Public","Did not Visit","None","None","1/1/2050",0,"Business, Management, Marketing, & Related Support Svcs",1,0,0
"3808",310295,2020,"Women","White","In-State","11/8/2019","Before January",4,"Search","None","Public","Other Visit","Early","by Apr 30","10/5/2019",0,"Health Professions and Related Clinical Sciences",0,0,0
"3809",310442,2018,"Women","Black/Af. Amer.","Out-of-State","3/16/2018","March",5,"Private Institutions","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",1,0,0
"3810",310493,2019,"Men","White","In-State","12/12/2018","Before January",1,"Application","None","Public","Did not Visit","None","by Apr 30","11/30/2018",0,"None",0,0,0
"3811",310537,2020,"Women","Unknown","In-State","7/1/2020","June-Sept",5,"Application","Virtual","Public","Orientation","None","May-Sept","6/19/2020",1,"Education",0,0,0
"3812",310593,2019,"Men","White","Out-of-State","9/25/2018","Before January",2,"SAT-ACT","None","Home Schooled","Did not Visit","None","by Apr 30","10/9/2018",0,"Computer and Information Sciences and Support Services",0,0,0
"3813",310674,2020,"Women","White","In-State","12/5/2019","Before January",5,"Other","None","Public","Did not Visit","None","by Apr 30","11/18/2019",0,"Visual and Performing Arts",0,0,0
"3814",310676,2021,"Men","White","In-State","1/14/2021","January",3,"Common App Suspect/Prospect","None","Public","Did not Visit","None","by Apr 30","11/23/2020",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"3815",310722,2018,"Women","White","In-State","11/22/2017","Before January",3,"Application","None","Public","Did not Visit","None","by Apr 30","11/9/2017",0,"Visual and Performing Arts",0,0,0
"3816",310762,2017,"Men","White","In-State","11/21/2016","Before January",3,"Search","None","Public","Did not Visit","None","by Apr 30","11/22/2016",0,"Unknown/Deciding",0,0,0
"3817",310857,2019,"Men","Hispanic","In-State","1/31/2019","January",3,"Other","None","Public","Did not Visit","None","by Apr 30","10/10/2018",0,"Unknown/Deciding",1,0,0
"3818",310864,2017,"Men","White","In-State","11/7/2016","Before January",3,"Application","None","Public","Other Visit","None","by Apr 30","11/19/2016",0,"Unknown/Deciding",0,0,0
"3819",311037,2019,"Men","White","In-State","3/25/2019","March",2,"Campus Visit","None","Public","Other Visit","None","by Apr 30","10/28/2018",0,"Computer and Information Sciences and Support Services",0,0,0
"3820",311135,2019,"Men","Hispanic","In-State","2/19/2019","February",3,"Web Create Account","1st","Public","Orientation","None","by Apr 30","11/5/2018",1,"Business, Management, Marketing, & Related Support Svcs",1,0,0
"3821",311213,2018,"Women","Black/Af. Amer.","Out-of-State","11/29/2017","Before January",2,"Search","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",1,0,0
"3822",311217,2018,"Women","White","In-State","9/22/2017","Before January",2,"Internet","None","Public","Other Visit","Early","by Apr 30","10/10/2017",0,"Philosophy-Religious Studies, Theology-Religious Vocations",0,0,0
"3823",311251,2018,"Women","Black/Af. Amer.","Out-of-State","12/12/2017","Before January",5,"Web Create Account","None","Public","Did not Visit","None","by Apr 30","1/3/2018",0,"Unknown/Deciding",1,0,0
"3824",311267,2019,"Men","White","In-State","2/6/2019","February",3,"Other","1st","Public","Orientation","None","by Apr 30","2/20/2019",1,"Education",0,0,0
"3825",311338,2017,"Men","Black/Af. Amer.","In-State","1/26/2017","January",3,"Application","None","Public","Did not Visit","None","by Apr 30","11/17/2016",0,"Computer and Information Sciences and Support Services",1,0,0
"3826",311358,2020,"Men","Two or More","Out-of-State","2/6/2020","February",6,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Education",0,0,0
"3827",311397,2020,"Men","White","In-State","2/8/2020","February",6,"Campus Visit","Virtual","Public","Orientation","Spring","by Apr 30","12/11/2019",1,"Health Professions and Related Clinical Sciences",0,0,0
"3828",311555,2018,"Women","Black/Af. Amer.","In-State","3/1/2018","March",3,"Application","None","Public","Did not Visit","None","by Apr 30","2/21/2018",0,"Health Professions and Related Clinical Sciences",1,0,0
"3829",311557,2019,"Men","White","In-State","11/10/2018","Before January",1,"Other","None","Public","Did not Visit","None","by Apr 30","10/10/2018",0,"Health Professions and Related Clinical Sciences",0,0,0
"3830",311599,2018,"Women","Two or More","In-State","3/16/2018","March",5,"Application","None","Public","Did not Visit","None","by Apr 30","3/15/2018",0,"Public Administration and Social Service Professions",1,0,0
"3831",311634,2018,"Women","White","Out-of-State","10/3/2017","Before January",1,"Application","None","Public","Did not Visit","None","by Apr 30","1/2/2018",0,"Health Professions and Related Clinical Sciences",0,1,0
"3832",311695,2017,"Women","Black/Af. Amer.","In-State","11/7/2016","Before January",4,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",1,0,0
"3833",311696,2019,"Women","White","Out-of-State","12/20/2018","Before January",4,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Physical Sciences",0,0,0
"3834",311698,2020,"Women","White","In-State","9/9/2019","Before January",1,"College Night","Virtual","Public","Orientation","None","by Apr 30","10/4/2019",1,"Health Professions and Related Clinical Sciences",0,0,0
"3835",311812,2020,"Men","Black/Af. Amer.","Out-of-State","2/13/2020","February",6,"Campus Visit","None","Public","Other Visit","Fall","by Apr 30","10/10/2019",1,"Biological and Biomedical Sciences",0,0,0
"3836",311865,2021,"Men","White","In-State","10/28/2020","Before January",2,"Application","Virtual","Public","Orientation","None","by Apr 30","10/6/2020",1,"Business, Management, Marketing, & Related Support Svcs",0,1,0
"3837",311885,2017,"Men","Hispanic","In-State","3/10/2017","March",1,"Application","2nd","Public","Orientation","None","by Apr 30","2/28/2017",1,"English Language and Literature/Letters",1,1,0
"3838",311961,2019,"Men","Foreign (Non-Res)","Out-of-State","4/17/2019","April",1,"Application","None","Unknown","Did not Visit","None","None","1/1/2050",0,"Mathematics and Statistics",1,0,0
"3839",311963,2018,"Men","Two or More","Out-of-State","2/15/2018","February",2,"Campus Visit","None","Public","Other Visit","Spring","by Apr 30","2/16/2018",0,"Health Professions and Related Clinical Sciences",1,0,0
"3840",312143,2017,"Men","White","In-State","2/2/2017","February",4,"SAT-ACT","None","Public","Other Visit","None","by Apr 30","2/12/2017",0,"Unknown/Deciding",0,0,0
"3841",312155,2018,"Women","Black/Af. Amer.","In-State","3/5/2018","March",3,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",1,0,0
"3842",312164,2021,"Men","White","In-State","11/23/2020","Before January",2,"Other","Virtual","Public","Orientation","Early","by Apr 30","11/8/2020",1,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"3843",312198,2017,"Men","White","In-State","11/14/2016","Before January",2,"Search","None","Public","Other Visit","Fall","by Apr 30","10/2/2016",1,"Education",0,0,0
"3844",312204,2018,"Men","Black/Af. Amer.","In-State","11/30/2017","Before January",2,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Legal Professions and Studies",1,0,0
"3845",312273,2017,"Men","White","In-State","12/19/2016","Before January",5,"Application","None","Public","Did not Visit","None","by Apr 30","1/16/2017",0,"Security and Protective Services",0,0,0
"3846",312275,2019,"Men","Hispanic","In-State","2/12/2019","February",2,"Web Create Account","None","Public","Other Visit","None","by Apr 30","11/18/2018",0,"Business, Management, Marketing, & Related Support Svcs",1,0,0
"3847",312498,2018,"Men","Black/Af. Amer.","In-State","12/21/2017","Before January",4,"Application","None","Private","Did not Visit","None","by Apr 30","4/26/2018",0,"Health Professions and Related Clinical Sciences",1,0,0
"3848",312591,2019,"Women","Foreign (Non-Res)","In-State","12/14/2018","Before January",3,"Application","None","Private","Did not Visit","None","None","1/1/2050",0,"None",1,0,0
"3849",312623,2021,"Women","Foreign (Non-Res)","Out-of-State","5/10/2021","May",1,"Application","None","Unknown","Did not Visit","None","None","1/1/2050",0,"Unknown/Deciding",0,0,0
"3850",312633,2021,"Men","White","In-State","12/1/2020","Before January",6,"Application","None","Private","Did not Visit","None","None","1/1/2050",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"3851",312751,2018,"Women","Black/Af. Amer.","Out-of-State","10/27/2017","Before January",3,"Application","1st","Public","Orientation","Fall","by Apr 30","11/1/2017",1,"Education",1,0,0
